"V1","V2"
"Direct-Paid Search-Direct-Display-Organic Search-End",224
"Direct-Paid Search-Direct-Affiliate-Direct-End",432
"Direct-Paid Search-Direct-Affiliate-Social-End",355
"Direct-Paid Search-Direct-Affiliate-Display-End",75
"Direct-Paid Search-Direct-Affiliate-Paid Search-End",969
"Direct-Paid Search-Direct-Affiliate-Organic Search-End",32
"Direct-Paid Search-Direct-Paid Search-Direct-End",10024
"Direct-Paid Search-Direct-Paid Search-Social-End",12336
"Direct-Paid Search-Direct-Paid Search-Display-End",1244
"Direct-Paid Search-Direct-Paid Search-Affiliate-End",505
"Direct-Paid Search-Direct-Paid Search-Organic Search-End",1326
"Direct-Paid Search-Direct-Organic Search-Direct-End",698
"Direct-Paid Search-Direct-Organic Search-Social-End",102
"Direct-Paid Search-Direct-Organic Search-Display-End",12
"Direct-Paid Search-Direct-Organic Search-Affiliate-End",3
"Direct-Paid Search-Direct-Organic Search-Paid Search-End",1107
"Direct-Paid Search-Display-Direct-Social-End",365
"Direct-Paid Search-Display-Direct-Display-End",170
"Direct-Paid Search-Display-Direct-Affiliate-End",102
"Direct-Paid Search-Display-Direct-Paid Search-End",1018
"Direct-Paid Search-Display-Direct-Organic Search-End",76
"Direct-Paid Search-Display-Affiliate-Direct-End",103
"Direct-Paid Search-Display-Affiliate-Social-End",103
"Direct-Paid Search-Display-Affiliate-Display-End",68
"Direct-Paid Search-Display-Affiliate-Paid Search-End",220
"Direct-Paid Search-Display-Affiliate-Organic Search-End",13
"Direct-Paid Search-Display-Paid Search-Direct-End",1285
"Direct-Paid Search-Display-Paid Search-Social-End",3232
"Direct-Paid Search-Display-Paid Search-Display-End",1498
"Direct-Paid Search-Display-Paid Search-Affiliate-End",114
"Direct-Paid Search-Display-Paid Search-Organic Search-End",414
"Direct-Paid Search-Display-Organic Search-Direct-End",520
"Direct-Paid Search-Display-Organic Search-Social-End",197
"Direct-Paid Search-Display-Organic Search-Display-End",38
"Direct-Paid Search-Display-Organic Search-Affiliate-End",7
"Direct-Paid Search-Display-Organic Search-Paid Search-End",1849
"Direct-Paid Search-Affiliate-Direct-Social-End",216
"Direct-Paid Search-Affiliate-Direct-Display-End",41
"Direct-Paid Search-Affiliate-Direct-Affiliate-End",108
"Direct-Paid Search-Affiliate-Direct-Paid Search-End",365
"Direct-Paid Search-Affiliate-Direct-Organic Search-End",25
"Direct-Paid Search-Affiliate-Display-Direct-End",61
"Direct-Paid Search-Affiliate-Display-Social-End",92
"Direct-Paid Search-Affiliate-Display-Affiliate-End",22
"Direct-Paid Search-Affiliate-Display-Paid Search-End",129
"Direct-Paid Search-Affiliate-Display-Organic Search-End",15
"Direct-Paid Search-Affiliate-Paid Search-Direct-End",400
"Direct-Paid Search-Affiliate-Paid Search-Social-End",851
"Direct-Paid Search-Affiliate-Paid Search-Display-End",83
"Direct-Paid Search-Affiliate-Paid Search-Affiliate-End",280
"Direct-Paid Search-Affiliate-Paid Search-Organic Search-End",96
"Direct-Paid Search-Affiliate-Organic Search-Direct-End",44
"Direct-Paid Search-Affiliate-Organic Search-Social-End",7
"Direct-Paid Search-Affiliate-Organic Search-Affiliate-End",3
"Direct-Paid Search-Affiliate-Organic Search-Paid Search-End",97
"Direct-Paid Search-Organic Search-Direct-Social-End",361
"Direct-Paid Search-Organic Search-Direct-Display-End",52
"Direct-Paid Search-Organic Search-Direct-Affiliate-End",66
"Direct-Paid Search-Organic Search-Direct-Paid Search-End",1799
"Direct-Paid Search-Organic Search-Direct-Organic Search-End",222
"Direct-Paid Search-Organic Search-Display-Direct-End",14
"Direct-Paid Search-Organic Search-Display-Social-End",23
"Direct-Paid Search-Organic Search-Display-Affiliate-End",6
"Direct-Paid Search-Organic Search-Display-Paid Search-End",49
"Direct-Paid Search-Organic Search-Display-Organic Search-End",32
"Direct-Paid Search-Organic Search-Affiliate-Direct-End",4
"Direct-Paid Search-Organic Search-Affiliate-Social-End",8
"Direct-Paid Search-Organic Search-Affiliate-Display-End",3
"Direct-Paid Search-Organic Search-Affiliate-Paid Search-End",21
"Direct-Paid Search-Organic Search-Paid Search-Direct-End",1067
"Direct-Paid Search-Organic Search-Paid Search-Social-End",3817
"Direct-Paid Search-Organic Search-Paid Search-Display-End",363
"Direct-Paid Search-Organic Search-Paid Search-Affiliate-End",111
"Direct-Paid Search-Organic Search-Paid Search-Organic Search-End",1943
"Direct-Organic Search-Direct-Display-Direct-End",45
"Direct-Organic Search-Direct-Display-Social-End",64
"Direct-Organic Search-Direct-Display-Affiliate-End",14
"Direct-Organic Search-Direct-Display-Paid Search-End",90
"Direct-Organic Search-Direct-Display-Organic Search-End",56
"Direct-Organic Search-Direct-Affiliate-Direct-End",43
"Direct-Organic Search-Direct-Affiliate-Social-End",44
"Direct-Organic Search-Direct-Affiliate-Paid Search-End",171
"Direct-Organic Search-Direct-Affiliate-Organic Search-End",18
"Direct-Organic Search-Direct-Paid Search-Direct-End",1234
"Direct-Organic Search-Direct-Paid Search-Social-End",2088
"Direct-Organic Search-Direct-Paid Search-Display-End",181
"Direct-Organic Search-Direct-Paid Search-Affiliate-End",55
"Direct-Organic Search-Direct-Paid Search-Organic Search-End",521
"Direct-Organic Search-Direct-Organic Search-Direct-End",682
"Direct-Organic Search-Direct-Organic Search-Social-End",77
"Direct-Organic Search-Direct-Organic Search-Display-End",10
"Direct-Organic Search-Direct-Organic Search-Paid Search-End",429
"Direct-Organic Search-Display-Direct-Social-End",10
"Direct-Organic Search-Display-Direct-Paid Search-End",16
"Direct-Organic Search-Display-Affiliate-End",5
"Direct-Organic Search-Display-Affiliate-Paid Search-End",5
"Direct-Organic Search-Display-Paid Search-Direct-End",20
"Direct-Organic Search-Display-Paid Search-Social-End",49
"Direct-Organic Search-Display-Paid Search-Display-End",21
"Direct-Organic Search-Display-Paid Search-Organic Search-End",21
"Direct-Organic Search-Display-Organic Search-Direct-End",21
"Direct-Organic Search-Display-Organic Search-Social-End",12
"Direct-Organic Search-Display-Organic Search-Display-End",4
"Direct-Organic Search-Display-Organic Search-Paid Search-End",66
"Direct-Organic Search-Affiliate-Direct-Affiliate-End",4
"Direct-Organic Search-Affiliate-Direct-Organic Search-End",3
"Direct-Organic Search-Affiliate-Display-Social-End",4
"Direct-Organic Search-Affiliate-Organic Search-End",15
"Direct-Organic Search-Affiliate-Paid Search-Direct-End",11
"Direct-Organic Search-Affiliate-Paid Search-Social-End",36
"Direct-Organic Search-Affiliate-Paid Search-Affiliate-End",13
"Direct-Organic Search-Affiliate-Paid Search-Organic Search-End",19
"Direct-Organic Search-Affiliate-Organic Search-Direct-End",4
"Direct-Organic Search-Affiliate-Organic Search-Paid Search-End",13
"Direct-Organic Search-Paid Search-Direct-Social-End",686
"Direct-Organic Search-Paid Search-Direct-Display-End",88
"Direct-Organic Search-Paid Search-Direct-Affiliate-End",168
"Direct-Organic Search-Paid Search-Direct-Paid Search-End",1637
"Direct-Organic Search-Paid Search-Direct-Organic Search-End",677
"Direct-Organic Search-Paid Search-Display-Direct-End",87
"Direct-Organic Search-Paid Search-Display-Social-End",294
"Direct-Organic Search-Paid Search-Display-Affiliate-End",31
"Direct-Organic Search-Paid Search-Display-Paid Search-End",379
"Direct-Organic Search-Paid Search-Display-Organic Search-End",249
"Direct-Organic Search-Paid Search-Affiliate-Direct-End",50
"Direct-Organic Search-Paid Search-Affiliate-Social-End",69
"Direct-Organic Search-Paid Search-Affiliate-Display-End",21
"Direct-Organic Search-Paid Search-Affiliate-Paid Search-End",169
"Direct-Organic Search-Paid Search-Affiliate-Organic Search-End",27
"Direct-Organic Search-Paid Search-Organic Search-Direct-End",428
"Direct-Organic Search-Paid Search-Organic Search-Social-End",566
"Direct-Organic Search-Paid Search-Organic Search-Display-End",33
"Direct-Organic Search-Paid Search-Organic Search-Affiliate-End",25
"Direct-Organic Search-Paid Search-Organic Search-Paid Search-End",6607
"Direct-Display-Direct-Affiliate-Organic Search-End",5
"Direct-Display-Direct-Organic Search-Affiliate-End",2
"Direct-Display-Direct-Display-Direct-Social-End",28
"Direct-Display-Direct-Display-Direct-Display-End",338
"Direct-Display-Direct-Display-Direct-Affiliate-End",12
"Direct-Display-Direct-Display-Direct-Paid Search-End",45
"Direct-Display-Direct-Display-Direct-Organic Search-End",10
